category,question,answer
fiddler crab,Are the fiddler crabs' claws very small or large?,large
king crab,Do king crabs have small or large spikes on the shell?,small
American lobster,Are the American lobster's claws small or large compared to its eyes?,large
hermit crab,What is the size of the hermit crab?,small
isopod,What is the size of isopods?,small
white stork,Does the white stork have long or short legs?,long
flamingo,Do flamingos have a long or short neck?,long
flamingo,Do flamingos have very short or long legs?,long
little blue heron,Is the neck of the little blue heron long or short?,long
American egret,Is the American egret's neck long or short?,long
bittern,Does the bittern have a long or short beak?,long
crane(bird),Does the crane(bird) have long or short legs?,long
crane(bird),Does the crane(bird) have a small or large mouth?,large
crane(bird),Does the crane(bird) have a long or short beak?,long
limpkin,Does the limpkin have a long or short beak?,long
limpkin,Does the limpkin have long or short legs?,long
limpkin,Does the limpkin have thick legs or thin legs?,thin
European gallinule,Does the European gallinule have long or short legs?,long
bustard,Does the bustard have long or short legs?,long
red-backed sandpiper,Is the beak of the red-backed sandpiper long or short?,long
red-backed sandpiper,Is the size of the red-backed sandpiper big or small?,small
redshank,Does a redshank have a long or short beak?,long
redshank,Does a redshank have a long or short tail?,short
dowitcher,Does the dowitcher have a long or short beak?,long
pelican,Does the pelican have a very big or small mouth?,big
king penguin,Does a king penguin have long or short ears?,short
king penguin,Does a king penguin have long or short legs?,short
albatross,Does an albatross have a small or large mouth?,large
albatross,Is the beak of an albatross long or short?,long
killer whale,Is the killer whale big or small in size?,big
dugong,Does a dugong have big or small eyes?,small
dugong,Does a dugong look small or large?,large
Chihuahua,Is the Chihuahua small or large?,small
Chihuahua,Does the Chihuahua have long or short fur?,short
Chihuahua,Does the Chihuahua have long or short snout?,short
Japanese spaniel,What's the size of the Japanese spaniel?,small
Pekinese,Is the Pekinese a small or large dog?,small
Pekinese,Does the Pekinese have long or short snout?,short
Shih-Tzu,Does the Shih-Tzu have a long or short tail?,short
Blenheim spaniel,Is a Blenheim spaniel's nose long or short?,short
Blenheim spaniel,Are the ears of the Blenheim spaniel long or short?,long
Rhodesian ridgeback,What is the size of a Rhodesian ridgeback?,large
Rhodesian ridgeback,Does the Rhodesian ridgeback have long or short ears?,long
Afghan hound,Does the Afghan hound have a thin or thick coat?,thick
bloodhound,Are the bloodhound's ears long or short?,long
Walker hound,Does a Walker hound have a long or short ear?,long
English foxhound,Does the English foxhound have a long or very short tail?,long
English foxhound,Do English foxhounds have long or short curly furs?,short
redbone,What is the size of a redbone's ears?,large
borzoi,Do borzois usually have long or short snouts?,long
Italian greyhound,Does the Italian greyhound have a long or short neck?,long
whippet,Are the legs of the whippet long or short?,long
whippet,Does the whippet have a long or short snout?,long
Ibizan hound,Does the Ibizan hound have short or long legs?,long
otterhound,Does the otterhound have a short or long tail?,short
American Staffordshire terrier,Does American Staffordshire terrier have a short or long coat?,short
Bedlington terrier,Are the Bedlington terrier's legs long or short?,long
Kerry blue terrier,Is the Kerry blue terrier's tail long or short?,short
Irish terrier,Does the Irish terrier have long or short tails?,short
Norfolk terrier,Is the tail of the Norfolk terrier short or long?,short
Norfolk terrier,Does Norfolk terrier have long or short fur?,short
Yorkshire terrier,Do Yorkshire terriers have a long or short tail?,short
Yorkshire terrier,Is the Yorkshire terrier a small or big dog breed?,small
wire-haired fox terrier,Does the wire-haired fox terrier have a long or short tail compared to its legs?,short
Australian terrier,Is the size of the Australian Terrier large or small?,small
Dandie Dinmont,Does the Dandie Dinmont have long or short fur?,short
Boston bull,Does the Boston bull have a long or short tail?,short
miniature schnauzer,Are miniature schnauzers very large or small dogs?,small
miniature schnauzer,Do miniature schnauzers have short or long tails?,short
Scotch terrier,Does a Scotch terrier have long or short hair?,long
Scotch terrier,What is the size of the Scotch terrier?,small
silky terrier,Does the silky terrier have long or short fur on the face?,long
West Highland white terrier,Is the West Highland white terrier a large or small dog breed?,small
Lhasa,Does the Lhasa have long or short fur?,long
curly-coated retriever,Is a curly-coated retriever small-sized or large-sized dog?,large
curly-coated retriever,Is the hair on the face of the curly-coated retriever short or long?,short
English setter,Is the ear of an English setter long or very short?,long
Irish setter,Does an Irish setter have very short or long legs?,long
Irish setter,Do Irish setters have small or large noses?,large
Irish setter,Are Irish setters a small or large dog breed?,large
Brittany spaniel,Does the Brittany spaniel have short or long legs?,long
Brittany spaniel,Does the Brittany spaniel have a long or short tail?,short
English springer,Does the English springer have long ears or short ears?,long
English springer,Does the English springer have a short or long tail?,long
cocker spaniel,Does a cocker spaniel have long or short ears?,long
Sussex spaniel,Does the Sussex spaniel have long or short ears?,long
Irish water spaniel,Is the Irish water spaniel usually small or large?,large
briard,Does the briard have short or long legs?,long
briard,Does the briard have long or short fur?,long
briard,Is the briard a very small or large dog?,large
komondor,Does the komondor have short or long fur?,long
Shetland sheepdog,Does the Shetland sheepdog have long or short hair?,long
Shetland sheepdog,Is the Shetland sheepdog a small or large dog?,large
collie,Does the collie have long or short fur?,long
Border collie,Does the Border collie have a thin or thick tail?,thick
Doberman,Does a Doberman have a long muzzle or a short muzzle?,long
EntleBucher,Does the EntleBucher have a short or long tail?,long
boxer,Is a boxer's hair short or long?,short
bull mastiff,Does the bull mastiff have long or short fur?,short
Great Dane,Does the Great Dane have long or short ears?,long
malamute,Does a malamute have big or small ears?,small
Siberian husky,Does a Siberian Husky have short or long furs?,short
dalmatian,Is the dalmatian a large or small dog?,large
dalmatian,Does the dalmatian have a long or short tail?,long
affenpinscher,What size is the affenpinscher?,small
affenpinscher,Does an affenpinscher have a short or long tail?,short
basenji,Does the basenji have a short or long coat?,short
pug,Is the pug a small or large breed?,small
pug,Does the pug have long or short furs?,short
pug,Does the pug have a long or short tail?,short
Leonberg,Does the Leonberg have long or short furs?,long
Samoyed,Is the Samoyed's tail very thin or thick?,thick
Pomeranian,Does a Pomeranian have long or short hair?,long
chow,Does the chow have a long or short tail?,short
chow,Does the chow have a long or short ears?,short
keeshond,Does the keeshond have long or short ears?,short
miniature poodle,Does the miniature poodle have a long or short tail?,short
miniature poodle,Is the miniature poodle a big or small dog breed?,small
standard poodle,Does the standard poodle have a long or short snout?,long
Mexican hairless,Is the Mexican hairless a big or small dog breed?,big
Mexican hairless,Does the Mexican hairless have long or short legs?,long
white wolf,Does the white wolf have small or large eras?,small
red wolf,Does a red wolf have short or long legs?,long
grey fox,Does a grey fox have a long or short furry tail?,long
Persian cat,Does the Persian cat have a long or short muzzle?,short
leopard,Does the leopard have long or short ears?,short
cheetah,Do cheetahs have a long or short tail?,long
brown bear,Is the brown bear small or large?,large
ice bear,Does the ice bear have a long or short tail?,short
mongoose,Does the mongoose have a long or short tail?,long
meerkat,Does the meerkat have a long or short tail?,long
tiger beetle,Is a tiger beetle big or small?,small
tiger beetle,Does a tiger beetle have long or short legs?,long
ladybug,What's the size of a ladybug?,small
long-horned beetle,Does the long-horned beetle have long or short antennae?,long
leaf beetle,What's the size of a leaf beetle?,small
dung beetle,What is the size of the dung beetle?,small
rhinoceros beetle,Does the rhinoceros beetle have a large or small horn?,large
weevil,What is the size of weevil?,small
fly,Does a fly have large or small eyes?,large
ant,What is the size of the ants?,small
cricket,What is the size of the cricket?,small
walking stick,Does the walking stick have long or short legs?,long
walking stick,"What type of legs does the walking stick have, long or short?",long
cockroach,What's the size of the cockroach?,small
cicada,Does a cicada have big or small eyes?,big
cicada,Are the wings of most cicadas thick or thin?,thin
leafhopper,Does a leafhopper have a long or short tail?,short
dragonfly,Does a dragonfly have a long or short body structure?,long
dragonfly,Is the dragonfly tail thick or thin?,thick
damselfly,Is the damselfly small or large?,small
monarch,What is the size of the monarch?,small
cabbage butterfly,What's the size of the cabbage butterfly?,small
lycaenid,What is the size of the lycaenid?,small
sea cucumber,Is a sea cucumber long or short?,short
hare,Does the hare have long ears or short ears?,long
hare,Does the hare have a long or short mouth or not?,short
hare,Does the hare have long legs or short legs?,short
hare,Does the hare have a long or short tail?,short
hamster,What is the size of a hamster?,small
fox squirrel,Do fox squirrels have small or large ears?,small
fox squirrel,Does fox squirrel have a short or long tail?,long
fox squirrel,Is the fox squirrel huge or small?,small
marmot,Is the marmot a tall or short animal?,short
marmot,Of what size is a marmot?,small
guinea pig,Do guinea pigs have small or large ears?,small
guinea pig,Do guinea pigs have short or long legs?,short
guinea pig,What size is a guinea pig?,small
hippopotamus,What's the size of the hippopotamus?,big
ox,Does the ox have long or short legs?,long
water buffalo,What's the size of the water buffalo?,big
bison,Is the bison's fur long or short?,short
ram,Is the ram big or small in size?,big
ram,Does a ram have a long or short tail?,short
ibex,Is the ibex's fur long or short?,short
Arabian camel,Does the Arabian camel have a long or short neck?,long
Arabian camel,Does the Arabian camel have a long or short tail?,short
weasel,Does a weasel have short or long legs?,short
weasel,Is the weasel large or small?,small
mink,Does a mink have long or short whiskers?,long
mink,Does a mink have short or long legs?,short
black-footed ferret,What is the size of the black-footed ferret?,small
black-footed ferret,Does the black-footed ferret have long or short legs?,short
skunk,"What is the size of the skunk's tail, big or small?",big
armadillo,Does an armadillo have a long or short face?,long
armadillo,Does an armadillo have short or long claws?,short
three-toed sloth,Does a three-toed sloth have a long or short tail?,short
gorilla,Do gorillas have big or small nostrils?,big
siamang,Does the siamang have long or short arms?,long
siamang,Does the siamang have long or short tails?,short
guenon,Does the guenon have a long or short ear?,short
proboscis monkey,Does the proboscis monkey have a big or small nose?,big
proboscis monkey,Does a proboscis monkey have a long tail or a short tail?,long
proboscis monkey,Does the proboscis monkey have big or small ears?,small
marmoset,Is the tail of a marmoset long or short?,long
marmoset,Is the marmoset very big or small?,small
spider monkey,Do spider monkeys have long or short arms?,long
squirrel monkey,Does a squirrel monkey have long or short fur?,short
Madagascar cat,Does the Madagascar cat have a long or short tail?,long
indri,Does the indri have a long or short tail?,long
Indian elephant,What's the size of the Indian elephant?,large
African elephant,What's the size of the African elephant?,large
eel,Does the eel have long or short legs?,short
abaya,Does the abaya have long or short sleeves?,long
academic gown,Is the academic gown long or short?,long
accordion,Does the accordion very small or large?,large
airliner,Is the airliner very small or large?,large
apiary,Does the apiary have a big or small window?,small
balance beam,Is the balance beam thick or thin?,thick
Band Aid,Is a band aid thick or thin?,thin
banjo,Are banjos have a long or short neck?,long
basketball,Is the basketball long or short?,short
beacon,Is the beacon tall or short?,tall
bell cote,Is a bell cote tall or short?,tall
birdhouse,What is the size of a birdhouse?,small
bolo tie,Does the bolo tie have long or short strings?,long
bookcase,Is a bookcase usually small or large?,large
broom,Does a broom have a long or short rod attached to it?,long
bullet train,Does the bullet train have a large or small keyboard?,small
cannon,Is the cannon long or short?,long
castle,Are the castles big or small?,big
cellular telephone,Are cellular telephones very huge or small?,small
Christmas stocking,Is a Christmas stocking long or short?,long
cinema,Is a cinema big or small?,big
container ship,Is a container ship a type of small or large boat?,large
corkscrew,Does a corkscrew have a long or short handle?,short
cowboy boot,Are cowboy boots long or short?,long
crate,Is the crate always small or large?,large
dam,Is the dam tall or short?,tall
dial telephone,Is the dial telephone huge or small?,small
dishrag,Are dishrags small or large?,small
dock,Is the dock usually small or large?,large
electric locomotive,Is the electric locomotive very small or large?,large
face powder,Are face powders large or small?,small
feather boa,Is the feather boa usually long or short?,long
freight car,Is the freight car usually very small or large?,large
garbage truck,Are garbage trucks usually very small or large?,large
garbage truck,Are garbage trucks usually very short or long?,long
golf ball,Does the golf ball have small or large dips on its surface?,small
gong,Is the gong too small or large?,large
grille,Is the grille a big or small part of a car?,small
hair slide,Is the size of hair slides usually huge or small?,small
harmonica,Is the harmonica a small or large musical instrument?,small
harp,Is the harp big or small?,big
harvester,Is the harvester usually small or large?,large
harvester,Do harvesters have large or small wheels?,large
hook,Is the hook usually huge or small?,small
iPod,Is the iPod huge or small?,small
ladle,Does the ladle have a long or short handle?,long
limousine,Are limousines usually short or long?,long
liner,Is the liner very small or large?,large
lipstick,Is the lipstick very huge or small?,small
lumbermill,Is the lumbermill small or large?,large
magnetic compass,Is the magnetic compass huge or small?,small
maillot,Does the maillot usually have long or short sleeves?,short
maraca,Is the maraca huge or small?,small
maypole,Is the maypole tall or short compared to an average human?,tall
megalith,Is the megalith usually tall or short?,tall
megalith,Are megaliths usually very small or large?,large
monastery,Is the monastery very small or large?,large
mosque,Is the mosque usually small or large?,large
moving van,Is the moving van a small or large car?,large
moving van,Do moving vans have large or small carriages?,large
necklace,Is a necklace short or long?,long
obelisk,Is an obelisk tall or short?,tall
organ,Are organs big or small?,big
oxcart,Are the wheels of oxcart small or large?,large
palace,What is the size of the palace?,large
parachute,Is the parachute big or small compared to a person?,big
park bench,Does the park bench have a long or short seat?,long
photocopier,Is the photocopier large or very small or large?,small
pick,Is the pick thick or thin?,thin
pick,Is the pick huge or small?,small
pier,Is the pier usually small or large?,large
pinwheel,Does the pinwheel have a long or short stick?,long
plastic bag,Are most plastic bags thin or thick?,thin
pole,Does the pole usually be short or long?,long
projectile,Are the projectiles usually small or large?,large
radiator,Is the size of a radiator big or small?,big
radio telescope,Are radio telescopes big or small?,big
recreational vehicle,Is the recreational vehicle a type of small or large car?,large
reel,Is a reel big or small in size?,small
scoreboard,Can the scoreboard be large or small?,large
shopping cart,Are the wheels of a shopping cart small or large,small
shovel,Is a shovel always big or small?,small
shovel,Is a shovel always short or long?,long
ski mask,Is the ski mask thick or thin?,thin
slide rule,Is the slide rule thick or thin?,thin
space bar,Is the space bar long or short compared to other keys?,long
space shuttle,Is the space shuttle big or small?,big
stage,Is the stage usually very small or large?,large
stole,Is a stole long or short?,long
stretcher,Do stretchers come in different sizes?,yes
suspension bridge,Is the suspension bridge usually short or long?,long
swing,Does a swing have long or short swing chains?,long
thimble,Are there many small or large dips on the surface of the thimbles?,small
totem pole,Is the totem pole tall or short?,tall
tractor,Are the back wheels of the tractors small or large compared to the front wheels?,large
trailer truck,Is the trailer truck very small or large?,large
tub,Is the tub usually small or large?,large
umbrella,Does the umbrella have a long or short handle?,long
vacuum,Does the vacuum have a long or short handle at one end?,long
viaduct,Is the viaduct tall or short?,tall
viaduct,Is the viaduct small or large?,large
water tower,Is the water tower very small or large?,large
water tower,Are water towers tall or short?,tall
wing,Are the wings of an airplane very small or large?,large
wooden spoon,Does the wooden spoon have a small or large bowl at the end?,small
worm fence,Does the worm fence contain small or large openings?,small
bagel,Is a bagel thin or thick?,thick
zucchini,Is a zucchini long or short?,long
alp,Are alps tall or short?,tall
alp,Are the alps very small or large?,large
promontory,Is the promontory usually very small or large?,large
valley,Is the valley tall or short?,tall
valley,Is the valley very small or large?,large
rapeseed,What is the size of the rapeseed flower?,small
corn,Are there many small or large grains on the surface of the corn?,small
acorn,What is the size of the acorn?,small
hip,How about the size of hips?,small
buckeye,Is the buckeye huge or small?,small
buckeye,What size are buckeyes usually?,small
stinkhorn,Is the stinkhorn very big or small?,small
bolete,Is the size of the bolete handle big or small?,big
tench,What is the living environment of the tench?,water
goldfish,Does the goldfish live in water or on the land?,water
great white shark,What is the living environment of the great white shark?,ocean
tiger shark,Where does the tiger shark live?,ocean
hammerhead,Where does the hammerhead live?,ocean
electric ray,What is the living environment of the electric ray?,ocean
electric ray,Are the electric rays' eyes in the top of the body or in the bottom?,top
electric ray,Does the electric ray live in water or on the land?,water
hen,Does a hen live in water or on the land?,water
brambling,Does the brambling live in water?,no
junco,Where does a junco usually live?,tree
junco,Does the junco live in the water?,no
bulbul,Does the bulbul live in trees?,yes
bulbul,Does the bulbul live in water?,no
jay,What is the living environment of the jay?,tree
magpie,Does the magpie live in the ocean?,no
magpie,What is the living environment of the magpie?,forest
water ouzel,Does the water ouzel live near the water?,yes
great grey owl,Does the great grey owl live in the ocean?,no
eft,Does the eft always live in the water?,no
axolotl,What is the living environment of the axolotl?,water
axolotl,Does the axolotl live in the sky?,no
loggerhead,Where does the loggerhead live?,ocean
leatherback turtle,Where does the leatherback turtle live?,ocean
box turtle,What is the living environment of the box turtle?,wild
banded gecko,What is the living environment of the banded gecko?,wild
American chameleon,Where is the American chameleon commonly found?,tree
American chameleon,What environment does an American chameleon live in?,forest
agama,Does the agama live in the ocean?,no
Gila monster,Does the Gila monster live in the water?,no
green lizard,Does the green lizard live in trees?,yes
African chameleon,What is the living environment of the African chameleon?,forest
African crocodile,Does the African crocodile live in water?,yes
American alligator,What is the living environment of the American alligator?,water
thunder snake,Where does the thunder snake found mostly?,wild
ringneck snake,What is the living environment of the ringneck snake?,forest
green snake,Where do green snakes mostly live in?,tree
vine snake,What is the living environment of the vine snake?,forest
rock python,Does the rock python live on the land?,yes
sidewinder,What is the living environment of the sidewinder?,forest
sidewinder,Does the sidewinder live in water?,no
trilobite,Is the trilobite's body always found outside or inside?,outside
harvestman,Which environment does the harvestman live in?,forest
centipede,Does the centipede live in the water?,no
ruffed grouse,Can the ruffed grouse live in water or on the land?,land
prairie chicken,Does a prairie chicken live in water or on the land?,land
quail,Does the quail live in the ocean?,no
partridge,Does a partridge live in water?,no
coucal,What's the living environment of the coucal?,forest
bee eater,Where does the bee eater usually stand?,tree
bee eater,Do bee eaters live in water?,no
hummingbird,What is the living environment of the hummingbird?,tree
drake,What is the living environment of the drake?,lake
red-breasted merganser,Where do most red-breasted mergansers live?,water
goose,What is the living environment of the goose?,water
black swan,What environment does a black swan live in?,lake
platypus,Does a platypus live in water?,yes
wallaby,Does the wallaby live in water?,no
koala,Where does the koala live?,tree
jellyfish,What environment does a jellyfish live in?,ocean
jellyfish,Can a jellyfish live on the land also?,no
sea anemone,Where does the sea anemone live?,ocean
brain coral,What is the living environment of the brain coral?,ocean
flatworm,Where does a flatworm live?,ocean
conch,What is the living environment of the conch?,water
slug,Does the slug live in a damp environment?,yes
sea slug,What is the living environment of the sea slug?,ocean
chambered nautilus,Where does the chambered nautilus live?,ocean
fiddler crab,Do fiddler crabs live on sandy beaches?,yes
fiddler crab,Do fiddler crabs live on grassland?,no
king crab,What's the general environment of the king crab?,water
spiny lobster,Where does a spiny lobster live?,water
spiny lobster,Do spiny lobsters live on land?,no
crayfish,What is the living environment of the crayfish?,water
black stork,What environment does black stork live in?,forest
spoonbill,Does the spoonbill live on the land?,no
flamingo,Where does the flamingo generally live?,lake
bittern,What environment does the bittern live in?,forest
limpkin,Does the limpkin live near the water?,yes
limpkin,Does the limpkin live in the water?,no
American coot,What is the living environment of the American coot?,water
American coot,Does the American coot live in trees?,no
bustard,Is the living environment of the bustard on land?,yes
oystercatcher,Where do most oystercatchers live?,water
grey whale,What is the living environment of the grey whale?,water
killer whale,What is the living environment of the killer whale?,water
dugong,Does a dugong live underwater?,yes
sea lion,Do sea lions live in the water?,yes
Shih-Tzu,Does a Shih-Tzu live on the land or in the sea?,land
black-and-tan coonhound,What environment does the black-and-tan coonhound live in the land or in the sea?,land
whippet,Does the whippet live in the water?,no
Scotch terrier,Does the Scotch terrier live in the water?,no
flat-coated retriever,"What environment does a flat-coated retriever live in, on the land or in the sea?",land
komondor,Does the komondor live on the land or in the sea?,land
Bouvier des Flandres,Does the Bouvier des Flandres live in the sea?,no
Pomeranian,Do Pomeranians live in the sea?,no
timber wolf,What is the living environment of the timber wolf?,forest
red wolf,Where is the living environment of a red wolf?,forest
dhole,What is the living environment of the dhole?,forest
red fox,What is the living environment of the red fox?,forest
grey fox,What is the living environment of the grey fox?,forest
tiger cat,Do tiger cats live in water?,no
leopard,Where are leopards living?,wild
lion,Where is a lion typically found?,forest
tiger,What is the living environment of the tiger?,forest
American black bear,Where does the American black bear live?,forest
sloth bear,Does the sloth bear live in the water?,no
meerkat,What is the living environment of the meerkat?,forest
ladybug,Where ladybugs can be mostly found?,plants
cricket,What is the living environment of the cricket?,forest
walking stick,Where is a walking stick commonly found?,plants
leafhopper,Where do leafhoppers mostly live in?,plants
admiral,What environment does the admiral live in?,forest
ringlet,What environment does a ringlet live in?,forest
sulphur butterfly,Does the sulphur butterfly live in the water?,no
starfish,What is the living environment of the starfish?,ocean
sea urchin,Does the sea urchin live on land?,no
sea cucumber,What kind of environment does the sea cucumber live in?,ocean
wood rabbit,Where does a wood rabbit live on?,grass
hare,Does the hare live in the forests?,no
hare,What is the living environment of the hare?,wild
hare,Does the hare live in water?,no
beaver,Do beavers live on land or in water?,water
hog,What environment does a hog live in?,forest
hog,Does a hog live in water?,no
warthog,Do warthogs live in grassland?,yes
warthog,Do warthogs live in water?,no
hippopotamus,Does the hippopotamus live near the water?,yes
water buffalo,What is the living environment of the water buffalos?,wild
bison,Does the bison live on land?,yes
bighorn,What is the living environment of the bighorn?,wild
ibex,Where does the ibex live?,wild
hartebeest,Where does a hartebeest live in?,wild
impala,Does the impala live in the forest?,yes
impala,Does the impala live in the ocean?,no
gazelle,In which environment does the gazelle live?,wild
otter,What is the living environment of otters?,water
otter,Does the Otter live on land also?,yes
three-toed sloth,Where can a three-toed sloth live in?,tree
chimpanzee,Where does the chimpanzee live?,forest
siamang,What is the living environment of the siamang?,forest
guenon,Where does guenon generally live?,forest
patas,What environment does a patas live in?,forest
baboon,What environment do baboons live in?,forest
macaque,Where do macaques live?,forest
colobus,Where does the colobus live?,forest
proboscis monkey,Where does a proboscis monkey live?,tree
proboscis monkey,Does the proboscis monkey live in the ocean?,no
marmoset,Where do marmosets live?,tree
capuchin,What's the environment of the capuchin?,forest
howler monkey,What is the living environment of the howler monkey?,tree
titi,What environment does a titi live in?,forest
spider monkey,Where is the spider monkey most likely to live?,tree
squirrel monkey,Does the squirrel monkey live on trees?,yes
Madagascar cat,Where does Madagascar cat mostly live?,forest
indri,What is the living environment of the indri?,forest
lesser panda,What is the living environment of the lesser panda?,forest
lesser panda,Does the lesser panda usually live in water?,no
giant panda,What is the living environment of the giant panda?,forest
barracouta,Does the barracouta live in the water or on the land?,water
eel,Does the eel live in water?,yes
coho,What is the living environment of the coho?,water
rock beauty,Where does the rock beauty live in?,ocean
anemone fish,What is the living environment of the anemone fish?,water
anemone fish,Does the anemone fish live in reefs?,yes
anemone fish,Does the anemone fish live on branches?,no
sturgeon,Where does the sturgeon live?,ocean
gar,What is the living environment of the gar?,water
lionfish,Where does the lionfish live?,ocean
puffer,What is the living environment of the puffer?,water
ambulance,Where does the ambulance appear in most cases?,road
amphibian,Where is the amphibian float always found?,water
backpack,Do people carry a backpack outside or inside?,outside
balloon,Where does the balloon fly?,sky
bathing cap,Where do we wear a bathing cap?,head
bulletproof vest,Where does the bulletproof vest protect?,chest
catamaran,Where would people use a catamaran?,water
CD player,Where are the buttons of a CD player?,front
china cabinet,Where can a china cabinet be found?,kitchen
crash helmet,Where is the crash helmet used in the human body?,head
croquet ball,Where can the croquet ball be found?,grass
dishwasher,Where is the dishwasher generally kept?,kitchen
dishwasher,Is the dishwasher generally kept in the living room?,no
drilling platform,Where are drilling platforms built?,ocean
feather boa,"Where do most people wear a feather boa, neck, or feet?",neck
go-kart,Where go-karts are mainly used?,road
lumbermill,Where are most lumbermills located?,forest
mailbox,Where is the small opening in the mailbox to put a mail?,top
maypole,Where is the maypole rooted?,ground
megalith,Where does the megalith erect on?,ground
microwave,Where are most microwaves placed?,kitchen
missile,Where was the missile launched?,sky
obelisk,Where is the obelisk installed?,ground
paddle,In which environment do we use a paddle?,water
picket fence,Is the picket fence placed outside or inside?,outside
schooner,Where can people find schooners?,ocean
solar dish,Is the solar dish kept outside or inside?,outside
sombrero,Where does the sombrero wear?,head
space shuttle,Where does the space shuttle fly?,sky
submarine,Where usually submarines are found?,ocean
wig,Where is the wig placed on the body?,head
head cabbage,Where does the head cabbage grow?,ground
zucchini,Where do zucchinis grow?,ground
spaghetti squash,Where does the spaghetti squash grow?,ground
mushroom,What is the living environment of the mushroom?,forest
mushroom,Does the mushroom usually live in water?,no
mushroom,Where do mushrooms grow?,ground
lemon,Where do lemons grow?,tree
jackfruit,Where does the jackfruit grow?,tree
custard apple,Where does the custard apple grow?,tree
coral reef,Where do we find coral reefs?,ocean
sandbar,Where are sandbars mostly seen near?,ocean
