category,question,answer
Samoyed,What is the shape of the ear of the Samoyed?,triangle
Pomeranian,What is the shape of the Pomeranian’s ears?,triangle
chow,What is the shape of the ear of the chow?,round
keeshond,What is the shape of the keeshond's ears?,triangle
Pembroke,What is the shape of the Pembroke's ears?,oval
dhole,What is the shape of the dhole's ears?,triangle
African hunting dog,What is the shape of the African hunting dog's ears?,round
red fox,What is the shape of the ears of a red fox?,triangle
kit fox,What is the shape of the ears of the kit fox?,triangle
grey fox,What is the shape of the grey fox's ears?,triangle
tabby,What is the shape of a tabby's ear?,triangle
Persian cat,What's the shape of the ear of the Persian cat?,round
Siamese cat,What is the shape of the ears of the Siamese cat?,triangle
cougar,What is the shape of the cougar's ears?,oval
lion,What is the shape of the ears of the lion?,round
American black bear,What is the shape of the ears of the American black bear?,oval
dung beetle,What is the shape of a dung beetle?,round
weevil,What is the shape of weevil?,oval
fly,What is the shape of a fly?,oval
cockroach,What shape is the body of a cockroach?,oval
mantis,What's the shape of the head of a mantis?,triangle
dragonfly,What is the shape of a dragonfly's head?,triangle
ringlet,What is the shape of the patterns on the wings of a ringlet?,round
lycaenid,What's the shape of a lycaenid's wings?,triangle
sea urchin,What is the shape of the sea urchin?,round
sea cucumber,What is the shape of sea cucumbers predominantly?,round
wood rabbit,What is the shape of the ear of the wood rabbit?,triangle
Angora,What is the shape of the Angora rabbit's eyes?,round
Angora,What is the shape of the Angora rabbit's ears?,oval
fox squirrel,What is the shape of the ear of the fox squirrel?,round
sorrel,What is the shape of the sorrel's ears?,triangle
hog,What shape are a hog's ears?,triangle
wild boar,What is the shape of a wild boar’s ears?,triangle
ox,What shape are the ox's horns?,curved
bighorn,What's the shape of a bighorn's horns?,curved
ibex,What is the shape of ibex's horns?,curved
impala,What is the shape of impala's ears?,triangle
weasel,What is the shape of the head of the weasel?,round
puffer,What is the shape of the puffer?,round
abacus,What is the shape of an abacus?,rectangle
abacus,What is the shape of the rings an abacus has?,round
academic gown,What is the shape of the top of an academic gown?,square
accordion,What shape are the keys on the accordion?,rectangle
acoustic guitar,What shape is the opening of an acoustic guitar?,round
airship,What is the shape of the airship?,oval
altar,What is the shape of an altar?,rectangle
ambulance,What is the ambulance's shape like?,rectangle
apiary,What is the common shape of an apiary?,rectangle
assault rifle,What is the common shape of the stock of an assault rifle?,triangle
assault rifle,Does the assault rifle have a straight or curved barrel?,straight
balance beam,What is the shape of a balance beam?,rectangle
balance beam,Is the balance beam straight or curved?,straight
balloon,What is the shape of most balloons?,round
Band Aid,What shape are most band aids?,rectangle
banjo,What shape is the banjo's body?,round
barbell,What shape are the weights on the ends of the barbell?,round
barbell,Is the barbell straight or curved?,straight
barbershop,What shape is the exterior of a barbershop?,square
barn,What is the shape of the roof of the barn?,triangle
barn,What shape is the base of the barn?,rectangle
barometer,What is the shape of most barometers?,round
barrel,What is the shape of barrels?,round
barrel,Is the barrel straight or curved?,straight
baseball,What is the main shape of the baseball?,oval
basketball,What's the shape of a basketball?,round
bassinet,What's the shape of a bassinet?,rectangle
bassoon,Is the bassoon straight or curved?,straight
bath towel,What is the shape of a bath towel?,rectangle
beach wagon,What is the shape of a beach wagon?,rectangle
beacon,What is the shape of a beacon?,triangle
bearskin,What is the shape of bearskins?,round
beer bottle,What is the shape of the opening of beer bottles?,round
bell cote,What is the shape of the upper part of the bell cote?,triangle
bikini,What shape are most bikini pants?,triangle
binder,What is the shape of most binders?,rectangle
birdhouse,What shape is the roof of most birdhouses?,triangle
boathouse,What shape is the roof of most boathouses?,triangle
bobsled,What shape is a bobsled?,oval
binoculars,What shape are the binoculars?,cone
bonnet,What shape is a bonnet?,round
bookcase,What shape is a bookcase?,rectangle
bottlecap,What's the shape of a bottlecap?,round
bow,Is the bow straight or curved in shape?,curved
brass,What shape is the brass usually in?,square
broom,Is the broom straight or curved?,straight
bucket,What is the shape of the bottom of the bucket?,round
buckle,What is the shape of the buckle?,rectangle
cab,What is the shape of the license plate of the cab?,rectangle
caldron,What is the shape at the mouth of the most of caldrons?,round
candle,What is the shape of the candle?,cylinder
cannon,What is the shape of the cannon?,oval
carousel,What shape is the carousel?,round
carpenter's kit,What shape is the carpenter's kit?,rectangle
carton,What is the shape of the carton?,square
cash machine,What's the shape of a cash machine's screen?,rectangle
cassette,What is the shape of the cassette?,rectangle
cassette player,What is the shape of the cassette player?,rectangle
catamaran,What is the shape of the top of the catamaran sail?,triangle
cellular telephone,What is the shape of the cellular telephone?,rectangle
chainlink fence,What is the shape of the chainlink fence?,square
chest,What is the common shape of a chest?,rectangle
chiffonier,What is the shape of most chiffoniers?,rectangle
church,What is the shape of the uppermost part of the church?,triangle
china cabinet,What is the shape of most china cabinets?,rectangle
cleaver,What is the shape of most cleavers?,rectangle
coffee mug,What is the shape of the bottom of most coffee mugs?,round
coffeepot,What is the shape of the coffeepot?,round
coffeepot,What is the shape of the coffeepot's handle?,oval
coffeepot,Which shape of spout is found in most coffeepots?,round
coil,What is the shape of the coil?,round
computer keyboard,What is the standard shape of a computer keyboard?,rectangle
computer keyboard,What is the standard shape of the keys of a computer keyboard?,square
container ship,What is the standard shape of the boxes on a container ship?,rectangle
cradle,What is the shape of a cradle?,rectangle
crate,What is the shape of a crate?,rectangle
crib,What is the shape of a crib?,rectangle
croquet ball,What is the shape of the croquet ball?,round
desk,What shape are the most of the desks?,rectangle
desktop computer,What is the shape of the desktop computer?,square
dial telephone,What is the shape of most dial pads in dial telephones?,round
dining table,What shape are most dining tables?,rectangle
dishrag,What shape are most dishrags?,square
dishwasher,What shape is the dishwasher usually in?,rectangle
disk brake,What is the shape of the disk brake?,round
dome,What is the shape of the dome?,round
doormat,What is the most common shape of a doormat?,square
drilling platform,What is the shape of the pillars of a drilling platform?,rectangle
drumstick,What is the shape of the tip of the drumstick?,round
Dutch oven,Is the shape of a Dutch oven often round or rectangular?,round
electric fan,What is the most common shape of the electric fan?,round
electric locomotive,What is the shape of the electric locomotive?,rectangle
envelope,What is the shape of the envelope?,rectangle
file,What is the shape of a file?,rectangle
fire screen,What is the shape of a fire screen?,square
flagpole,What is the shape of the flagpole?,cylinder
flute,What is the most common shape of a flute?,cylinder
folding chair,What is the shape of most folding chairs?,rectangle
four-poster,What is the shape of the four-poster?,rectangle
frying pan,What is the shape of most of the frying pans?,round
gas pump,What is the shape of the gas pump mostly?,rectangle
golf ball,What is the shape of the golf ball?,round
grille,What is the shape of the grille?,rectangle
guillotine,What is the shape of the guillotine?,rectangle
hand-held computer,What is the shape of the hand-held computer?,rectangle
handkerchief,What is the standard handkerchief shape?,square
hard disc,What is the shape of the hard disc?,round
harp,What shape does the harp resemble?,triangle
home theater,What shape are all the TVs in the home theaters?,rectangle
honeycomb,What is the shape of a honeycomb?,round
hoopskirt,What shape is the hoopskirt?,round
hook,Is a hook straight or curved?,curved
horizontal bar,What is the shape of the horizontal bar?,cylinder
horizontal bar,Is a horizontal bar straight or curved?,straight
hourglass,What is the shape of the hourglass?,round
iPod,What shape are most iPods?,rectangle
iron,What is the shape of the iron?,triangle
jack-o'-lantern,What is the shape of the jack-o'-lantern?,round
jack-o'-lantern,What is the shape of the eyes of the jack-o'-lantern?,triangle
jeep,What shape is a jeep's wheel?,round
jigsaw puzzle,What shape is the piece of the jigsaw puzzle?,square
laptop,What is the shape of a laptop?,rectangle
lighter,What is the shape of a lighter?,rectangle
loudspeaker,What shape are loudspeakers?,rectangle
mailbag,What is the shape of most mailbags?,rectangle
mailbox,What is the shape of the mailbox?,rectangle
maypole,What is the shape of the maypole?,triangle
medicine chest,What is the shape of the medicine chest?,rectangle
microphone,What is the usual shape of the top of the microphone?,round
microwave,What shape are most microwaves?,rectangle
milk can,What is the shape of the top of the milk can?,round
minibus,What is the shape of a minibus?,rectangle
missile,What is the shape of a missile?,cone
mobile home,What is the shape of the mobile home?,rectangle
monitor,What is the shape of a monitor?,rectangle
moped,What shape is a moped wheel?,round
mortar,What shape is the mortar?,round
mortarboard,What is the shape of the top of the mortarboard?,square
mosquito net,What's the shape of most mosquito nets?,rectangle
mouse,What is the shape of the mouse?,oval
mousetrap,What shape is a mousetrap?,rectangle
nail,Is a nail straight or curved?,straight
neck brace,What is the shape of the neck brace?,round
nipple,What is the shape of the nipple?,round
notebook,What shape is a closed notebook?,square
odometer,What is the shape of odometers?,round
oscilloscope,What shape is the oscilloscope?,rectangle
packet,What shape are most product packets?,rectangle
parachute,What shape are most parachutes?,round
parallel bars,What is the shape of the parallel bars?,rectangle
park bench,What is the shape of the park bench?,rectangle
pay-phone,What is the shape of the pay-phone?,rectangle
pedestal,What is the shape of the pedestal?,cylinder
pencil sharpener,What shape is the pencil sharpener usually in?,rectangle
pencil sharpener,What shape is the pencil sharpener hole?,round
Petri dish,What is the shape of a petri dish?,round
picket fence,What is the shape of a picket fence?,rectangle
pill bottle,What shape is the pill bottle?,cylinder
pillow,What is the shape of the pillow?,square
ping-pong ball,What shape is the ping-pong ball?,round
pirate,What is the shape of the sails of the pirate?,triangle
Polaroid camera,What is the shape of the Polaroid camera lens?,round
pool table,What is the shape of the pool table?,rectangle
pole,What is the shape of the pole?,cylinder
pot,What shape does the pot usually have?,cylinder
pop bottle,What is the shape of the pop bottle?,cylinder
potter's wheel,What is the shape of the potter's wheel?,round
prayer rug,What is the shape of most prayer rugs?,rectangle
printer,What shape are most printers?,rectangle
projectile,What is the common shape of the projectiles?,cylinder
projector,What is the shape of the projector like?,rectangle
projector,What is the shape of the projector lens?,round
purse,What is the shape of the purse?,rectangle
quilt,What is the shape of most quilts?,rectangle
racer,What is the shape of a racer car's wheel?,round
racket,What shape is the head of the racket?,round
radiator,What is the shape of a radiator?,rectangle
rain barrel,What is the shape of the rain barrel?,cylinder
recreational vehicle,What shape are recreational vehicles?,rectangle
refrigerator,What is the shape of the refrigerator?,rectangle
remote control,What is the rough shape of a remote control?,rectangle
revolver,What is the shape of the barrel of the revolver?,round
rugby ball,What is the shape of the rugby ball?,oval
rubber eraser,What is the shape of the rubber eraser?,rectangle
rule,What is the shape of most rules?,rectangle
safe,What shape is the safe?,rectangle
saltshaker,What is the shape of the lid of the saltshaker?,round
schooner,What is the general shape of a schooner's sails?,triangle
scoreboard,What is the shape of the scoreboard?,rectangle
screen,What shape are most screens?,rectangle
screw,What is the shape of the head of a screw?,round
seat belt,What is the shape of the seat belt?,rectangle
shoji,What is the shape of a shoji?,rectangle
shopping basket,What is the general shape of the shopping basket?,rectangle
shower curtain,What is the general shape of the shower curtain?,rectangle
sleeping bag,What is the shape of a sleeping bag?,rectangle
sliding door,What is the shape of the sliding door?,rectangle
snowplow,What is the shape of the snowplow?,rectangle
soccer ball,What is the shape of the soccer ball?,round
solar dish,What is the shape of the solar dish?,round
sombrero,What is the shape of the bottom of the sombrero?,round
soup bowl,What is the shape of the soup bowl?,round
space bar,What shape is the space bar?,rectangle
spotlight,What shape are most spotlights?,round
steel drum,What is the shape of the steel drum?,round
stethoscope,What is the shape of the stethoscope head?,round
stone wall,What is the shape of the stone wall?,rectangle
stove,What is the shape of most stoves?,rectangle
stretcher,What is the shape of most stretchers?,rectangle
studio couch,What is the most common shape of a studio couch?,rectangle
sundial,What is the shape of the sundial?,round
swab,Is a swab straight or curved?,straight
tape player,What is the shape of most tape players?,rectangle
tennis ball,What is the shape of the tennis ball?,round
television,What is the shape of the television?,rectangle
thatch,What is the prominent shape of a thatch?,triangle
throne,What is the shape of the back of most thrones?,rectangle
tile roof,What is the shape of the tile roof?,triangle
toilet seat,What is the shape of the toilet seat?,oval
trailer truck,What is the shape of the trailer truck's body?,rectangle
tray,What is the shape of most trays?,square
trolleybus,What shape does the trolleybus look like?,rectangle
umbrella,What is the shape of the unfolded umbrella?,round
wall clock,What shape is the majority of wall clocks?,round
wallet,What shape is a wallet?,rectangle
wardrobe,What is the shape of most wardrobes?,rectangle
washer,What shape is the window on the washer's front?,round
washer,What is the shape of a washer?,rectangle
water bottle,What is the shape of most water bottles?,cylinder
water tower,What is the shape of most water towers?,cylinder
whiskey jug,What shape is the body of most whiskey jugs?,round
window screen,What is the shape of most window screens?,rectangle
wine bottle,What is the shape of most wine bottles?,cylinder
wok,What is the shape of the wok?,round
wooden spoon,What is the shape of a wooden spoon's head?,round
yawl,What's the shape of the sails of a yawl?,triangle
web site,What is the usual shape of the pages on the web site?,square
comic book,What is the shape of the comic book?,rectangle
crossword puzzle,Are the boxes in a crossword puzzle square or round in shape?,square
traffic light,What is the shape of the traffic light?,round
menu,What is the shape of the menu card?,rectangle
bagel,What is the shape of the bagel?,round
pretzel,What is the shape of the pretzel?,heart
cheeseburger,What is the shape of the bun in the cheeseburger?,round
head cabbage,What shape is the head cabbage?,round
spaghetti squash,What shape is the spaghetti squash?,oval
acorn squash,What shape is the acorn squash?,oval
butternut squash,What is the shape of a butternut squash?,round
cucumber,What shape is the cucumber?,round
cardoon,What shape is the cardoon's flower?,round
strawberry,What is the shape of the strawberry?,round
fig,What shape is the fig?,round
hay,What shape are hay bales?,round
dough,What is the shape of most doughs?,round
meat loaf,What shape are most meat loaves?,round
burrito,What is the shape of the burrito?,round
cup,What is the shape of cups?,round
daisy,What is the general shape of the daisy?,round
acorn,What shape are acorns?,round
buckeye,What shape are buckeyes usually?,round
earthstar,What is the shape of the earthstar?,star
bolete,What is the base shape of the bolete?,round
toilet tissue,What shape is the toilet tissue?,cylinder
electric ray,Are electric rays round or square?,round
stingray,Is the stingray round or square?,square
hen,Is the beak of the hen round or triangle?,triangle
great grey owl,Does the great grey owl have a curved or straight beak?,curved
African chameleon,Is the head of an African chameleon round or triangle?,triangle
thunder snake,Is the thunder snake straight or curved?,curved
nematode,Does a nematode have a curved or square body?,curved
redshank,Is the bill of a redshank straight or curved?,straight
bloodhound,Does the bloodhound have a straight or curved tail?,curved
Bedlington terrier,Is the Bedlington terrier's hair straight or curved?,curved
wire-haired fox terrier,Does the wire-haired fox terrier have straight or curved hair?,curved
Irish water spaniel,Does an Irish water spaniel have straight or curved fur?,curved
toy poodle,Is the fur of the toy poodle curly or straight?,curly
standard poodle,Is the hair of the standard poodle straight or curly?,curly
Persian cat,Does the Persian cat have a round or triangle face?,round
cheetah,Do cheetahs have round or triangle ears?,round
sea cucumber,Does the sea cucumber have a round or triangle head?,round
water buffalo,Does the water buffalo have a curved or straight horn?,curved
armadillo,Does an armadillo have a round or triangle face?,triangle
indri,Does an indri have round or triangle ears?,round
eel,Does the eel have a curved or straight body?,straight
balance beam,Is a balance beam straight or curved?,straight
bearskin,Are bearskins typically round or triangle?,round
bonnet,Is the top of the bonnet round or square?,round
cash machine,Does the cash machine have a round or square screen?,square
catamaran,Is the catamaran square or triangle?,triangle
coffee mug,Is the top of most coffee mugs square or round?,round
coil,Is the coil square or curved?,curved
cowboy hat,Is the bottom of a cowboy hat usually a square or round?,round
Crock Pot,Is the top of the Crock Pot usually triangle or round?,round
electric guitar,Is the electric guitar's body straight or curved?,curved
golf ball,Is the golf ball square or round?,round
harp,Is the harp square or triangle?,triangle
hook,Is the hook curved or straight?,curved
hourglass,Is the glass part of an hourglass straight or curved?,curved
jeep,Is a jeep square or round?,square
jigsaw puzzle,Is the jigsaw puzzle usually triangle or square?,square
manhole cover,Is the manhole cover usually round or triangle?,round
mixing bowl,Is the edge of the mixing bowl round or triangle?,round
mobile home,Is mobile home a triangle or rectangle?,rectangle
monitor,Is a monitor round or square?,square
neck brace,Is the neck brace curved or straight?,curved
odometer,Is the odometer square or round?,round
packet,Is the packet usually triangle or square?,square
parallel bars,Are parallel bars straight or curved?,straight
parking meter,Is the parking meter a triangle or square?,square
pencil box,Is the pencil box usually a triangle or rectangle?,rectangle
pencil sharpener,Is the pencil sharpener triangle or rectangle?,rectangle
photocopier,Is the photocopier usually a triangle or rectangle?,rectangle
pick,Is the pick similar to a triangle or rectangle?,triangle
pill bottle,Does the pill bottle have a round or square base?,round
pill bottle,Is the bottom of the pill bottle usually triangle or round?,round
plunger,Is the bottom of the plunger round or square?,round
pole,Is the pole curved or straight?,straight
radio telescope,Is the radio telescope round or square?,round
rain barrel,Is a rain barrel round or square?,round
reel,Is a reel round or square?,round
remote control,Is the remote control a triangle or a rectangle?,rectangle
snowplow,Does the snowplow look curved or flat?,curved
spindle,Does a spindle have round or square features?,round
television,Is the television a triangle or a square?,square
tile roof,Is the tile roof curved or straight?,curved
wallet,Is the wallet usually a triangle or a square?,square
water tower,Do most water towers have a round or square top?,round
wine bottle,Is the bottom of the wine bottle usually triangle or round?,round
wine bottle,Is the mouth of a wine bottle usually square or round?,round
web site,Are the pages of the web site triangle or square?,square
book jacket,Is a book jacket round or square?,square
menu,Is the menu round or square?,square
hot pot,Is a hot pot round or square?,round
cauliflower,Is the cauliflower usually triangle or round?,round
orange,Are oranges square or round?,round
pineapple,Are pineapples square or round?,round
