category,question,answer
white stork,Does the white stork have thick legs?,no
spoonbill,Does the spoonbill have feathers?,yes
spoonbill,Does a spoonbill have a beak?,yes
spoonbill,Does the spoonbill have a tail?,no
spoonbill,Does a spoonbill have lines on its body?,no
American egret,Do American egrets have horns?,no
American egret,Does the American egret have scales?,no
crane(bird),Does the crane(bird) have wings?,yes
European gallinule,Does the European gallinule have wings?,yes
European gallinule,Does the European gallinule have scales?,no
bustard,Does the bustard have skinny legs?,yes
red-backed sandpiper,Does the red-backed sandpiper have a pointed beak?,yes
redshank,Does a redshank have wings?,yes
redshank,Does a redshank have a ring curled tail?,no
dowitcher,Does a dowitcher have a beak?,yes
dowitcher,Does the dowitcher have feathers?,yes
dowitcher,Does the dowitcher have 4 legs?,no
pelican,Does the pelican have a beak?,yes
pelican,Does a pelican have wings to fly?,yes
pelican,Does the pelican have horns?,no
king penguin,Does a king penguin have a beak?,yes
king penguin,Does a king penguin have many spines on the body?,no
albatross,Does an albatross have wings?,yes
albatross,Does an albatross have a black nose?,no
grey whale,Does a grey whale have fins?,yes
grey whale,Does the grey whale have furs?,no
grey whale,Does the grey whale have wings?,no
killer whale,Does the killer whale have fins?,yes
killer whale,Does the killer whale have fur?,no
killer whale,Does the killer whale have a red dorsal fin?,no
dugong,Does the dugong have a beak?,no
Japanese spaniel,Does the Japanese spaniel have a beak?,no
Shih-Tzu,Does the Shih-Tzu have fur?,yes
Blenheim spaniel,Does the Blenheim spaniel have fur?,yes
Blenheim spaniel,Does the Blenheim spaniel have a beak?,no
papillon,Does the papillon have fur?,yes
papillon,Does the papillon have a green tail?,no
papillon,Does the papillon have red spots on the body?,no
toy terrier,Does the toy terrier have a sharp beak?,no
Rhodesian ridgeback,Does the Rhodesian ridgeback have antennas?,no
Afghan hound,Does the Afghan hound have a ring curled tail?,yes
bloodhound,Does the bloodhound have a black nose?,yes
bloodhound,Does the bloodhound have a protective shell?,no
bluetick,Does a bluetick have four legs?,yes
black-and-tan coonhound,Does the black-and-tan coonhound have a drooping ear?,yes
black-and-tan coonhound,Does the black-and-tan coonhound have a pointy fin?,no
English foxhound,Do most English foxhounds have a white chest?,yes
English foxhound,Do most English foxhounds have stripes and spots on it?,no
borzoi,Do borzois have tails?,yes
Irish wolfhound,Does the Irish wolfhound have an erect ear?,no
Irish wolfhound,Does the Irish wolfhound have fur?,yes
whippet,Does the whippet have feathers?,no
Ibizan hound,Does the Ibizan hound have a tail?,yes
otterhound,Does the otterhound have wings?,no
otterhound,Does the otterhound have human-like ears?,no
Scottish deerhound,Do the Scottish deerhounds have a tail?,yes
American Staffordshire terrier,Does the American Staffordshire terrier have a tail?,yes
Border terrier,Does the Border terrier have fur?,yes
Border terrier,Does the Border terrier have wings?,no
Norwich terrier,Does the Norwich Terrier have a white nose?,no
wire-haired fox terrier,Does the Wire-Haired fox terrier have a lot of hair in its body?,yes
wire-haired fox terrier,Does the wire-haired fox terrier have a stripe of white usually?,no
Lakeland terrier,Does the Lakeland terrier have paws?,yes
Lakeland terrier,Does the Lakeland terrier have curly fur?,yes
Sealyham terrier,Does the Sealyham terrier have lots of hair on the face?,yes
Sealyham terrier,Does a Sealyham terrier have black stripes?,no
Airedale,Does the Airedale have curly hair?,yes
Airedale,Does the Airedale have a pink nose?,no
Airedale,Does the Airedale have a yellow beak?,no
miniature schnauzer,Does the miniature schnauzer dog have hair on its body?,yes
standard schnauzer,Does the standard schnauzer have fur?,yes
Scotch terrier,Does the Scotch terrier have two legs?,no
Tibetan terrier,Does the Tibetan terrier have a drooping ear?,yes
silky terrier,Does the silky terrier have red fur?,no
West Highland white terrier,Does the West Highland white terrier have fur on the body?,yes
Lhasa,Does the Lhasa have erect ears?,no
curly-coated retriever,Does a curly-coated retriever have black eyes?,yes
curly-coated retriever,Does the curly-coated retriever have wings?,no
English setter,Does the English setter have a beak?,no
Brittany spaniel,Does a Brittany spaniel have red hair?,no
Brittany spaniel,Does a Brittany spaniel have green paws?,no
clumber,Does the clumber have paws?,yes
English springer,Does the English springer have fur?,yes
English springer,Does the English springer have wings?,no
Welsh springer spaniel,Does the Welsh springer spaniel have a tail?,yes
Welsh springer spaniel,Does a Welsh springer spaniel have erect ears?,no
kuvasz,Is a kuvasz furry?,yes
Old English sheepdog,Is the Old English sheepdog furry?,yes
Old English sheepdog,Does the Old English sheepdog have stripes on its body?,no
Irish water spaniel,Can an Irish water spaniel have curly fur?,yes
Irish water spaniel,Does the Irish water spaniel have a white chest?,no
malinois,Do the malinoises have feathers?,no
malinois,Do the malinoises have fur?,yes
komondor,Does the komondor have fur on the body?,yes
komondor,Does the komondor have a slim body?,no
Shetland sheepdog,Does the Shetland sheepdog have furs on legs?,yes
Shetland sheepdog,Does the Shetland sheepdog have dots on its back?,no
collie,Does the collie have tails?,yes
Border collie,Does the Border collie have a black nose?,yes
Border collie,Does the Border collie have stripes?,no
EntleBucher,Does the EntleBucher have a black tail?,yes
boxer,Does a boxer have legs?,yes
boxer,Does a boxer have wings?,no
bull mastiff,Does the bull mastiff have white spots on its body?,no
Great Dane,Does the Great Dane have thick hair?,no
dalmatian,Does the dalmatian have a black tail?,no
basenji,Does the basenji have wings?,no
Newfoundland,Does the Newfoundland have fur?,yes
Great Pyrenees,Does the Great Pyrenees have black fur?,no
Great Pyrenees,Does the Great Pyrenees have a black nose?,yes
Samoyed,Does the Samoyed have fur?,yes
Samoyed,Does the Samoyed have a spotted pattern on its back?,no
Samoyed,Does the Samoyed have paws?,yes
Samoyed,Does the Samoyed have wings to fly?,no
Pomeranian,Does a Pomeranian have a red nose?,no
Pomeranian,Does the Pomeranian have a furry tail?,yes
Brabancon griffon,Does a Brabancon griffon have erect ears?,no
Pembroke,Does the Pembroke have fur?,yes
toy poodle,Does the toy poodle have a pink nose?,no
toy poodle,Does the toy poodle have a beak?,no
miniature poodle,Does the miniature poodle have lots of tail fur?,yes
Mexican hairless,Does the Mexican hairless have furry ears?,no
timber wolf,Does a timber wolf have a green mouth?,no
white wolf,Does the white wolf have 4 legs?,yes
red wolf,Does the red wolf have a spotted pattern on its body?,no
dhole,Does the dhole have a tail?,yes
dhole,Does the dhole have black hair in the tail?,yes
dhole,Does the dhole have a green tail?,no
dhole,Does the dhole have green hair in the tail?,no
red fox,Does the red fox have a fluffy tail?,yes
red fox,Does the red fox have wings?,no
red fox,Does the red fox have two legs?,no
kit fox,Does the kit fox have a snout?,yes
kit fox,Does the kit fox have a red nose?,no
kit fox,Does the kit fox have green ears?,no
Arctic fox,Does the Arctic fox have a white tail?,yes
tabby,Does a tabby have fur?,yes
tabby,Does a tabby have wings?,no
tiger cat,Do tiger cats have stripes?,yes
tiger cat,Do tiger cats have red skin?,no
Persian cat,Does the Persian cat have red hair?,no
Egyptian cat,Do Egyptian cats have black eyes?,no
lynx,Does the lynx have paws?,yes
leopard,Does the leopard have paws?,yes
tiger,Does the tiger have black stripes?,yes
tiger,Does the tiger have green stripes?,no
cheetah,Do cheetahs have spots?,yes
cheetah,Do cheetahs have white body furs?,no
brown bear,Does the brown bear have fur?,yes
American black bear,Does the American black bear have antennas?,no
ice bear,Does the ice bear have fur?,yes
ice bear,Does the ice bear have four legs?,yes
ice bear,Does the ice bear have a drooping ear?,no
sloth bear,Does the sloth bear have fur?,yes
sloth bear,Does the sloth bear have antennas?,no
sloth bear,Does the sloth bear have stripes?,no
meerkat,Do meerkats have huge ears?,no
ladybug,Does a ladybug have dots on its back?,yes
ladybug,Does a ladybug have yellow dots on its back?,no
leaf beetle,Does leaf beetle have spotted skin?,yes
dung beetle,Do dung beetles have antennae?,yes
dung beetle,Do dung beetles have yellow legs?,no
weevil,Does the weevil have many legs?,yes
weevil,Does the weevil have a tail?,no
fly,Does a fly have translucent wings?,yes
fly,Does a fly have feathers?,no
fly,Does a fly have a tail?,no
bee,Does a bee have wings?,yes
mantis,Does the mantis have antennas?,yes
mantis,Does the mantis have blue eyes?,no
cicada,Does the cicada have wings?,yes
cicada,Does the cicada have antennas?,no
lacewing,Do lacewings have wings?,yes
lacewing,Do lacewings have antennae?,yes
lacewing,Do lacewings have furs?,no
lacewing,Do lacewings have paws?,no
dragonfly,Does a dragonfly have translucent wings?,yes
damselfly,Does a damselfly have wings?,yes
damselfly,Does the damselfly have fur?,no
damselfly,Does the damselfly have paws?,no
cabbage butterfly,Does a cabbage butterfly have antennas?,yes
cabbage butterfly,Does a cabbage butterfly have a tail?,no
cabbage butterfly,Does a cabbage butterfly have floppy ears?,no
lycaenid,Does the lycaenid have tails?,no
lycaenid,Does the lycaenid have antennae?,yes
sea urchin,Does the sea urchin have many spines on the body?,yes
hare,Does a hare have eyes?,yes
hare,Does a hare have wings?,no
hare,Does a hare have a beak?,no
hare,Does a hare have stripes?,no
Angora,Does an Angora rabbit have black furs?,no
hamster,Does the hamster have four legs?,yes
porcupine,Does the porcupine have floppy ears?,no
porcupine,Does the porcupine have a pointed beak?,no
fox squirrel,Does the fox squirrel have antennas?,no
beaver,Does the beaver have paws?,yes
beaver,Does the beaver have a tail?,yes
beaver,Does a beaver only have two legs?,no
beaver,Do beavers have red furs?,no
warthog,Do warthogs have horns?,yes
warthog,Do warthogs have antennae?,no
warthog,Does a warthog have a drooping ear?,no
bison,Does the bison have horns?,yes
ibex,Does the ibex have tails?,yes
ibex,Does the ibex have wings?,no
hartebeest,Do hartebeests have tails?,yes
hartebeest,Does a hartebeest have horns?,yes
hartebeest,Does a hartebeest have spots?,no
hartebeest,Does a hartebeest have paws?,no
hartebeest,Does a hartebeest have stripes?,no
gazelle,Do gazelles have wings?,no
gazelle,Does the gazelle have horns?,yes
llama,Does the llama have spotted skin?,no
llama,Does the llama have wings?,no
weasel,Does the weasel have sharp teeth?,yes
black-footed ferret,Does the black-footed ferret have a tail?,yes
skunk,Does the skunk have claws?,yes
badger,Does a badger have a stripe of white usually?,yes
badger,Does a badger have translucent wings?,no
armadillo,Does an armadillo always have a shell?,yes
three-toed sloth,Does the three-toed sloth have fur on the body?,yes
orangutan,Does the orangutan have lots of hair on the face?,no
gorilla,Does the gorilla have wings?,no
gorilla,Does the gorilla have spikes?,no
chimpanzee,Does the chimpanzee have a tail or not?,no
patas,Does a patas have a tail?,yes
baboon,Do baboons have fur?,yes
langur,Does the langur have lots of fur on the face?,no
langur,Does the langur have tails?,yes
proboscis monkey,Does the proboscis monkey have a tail?,yes
proboscis monkey,Does the proboscis monkey have wings?,no
marmoset,Does the marmoset have fur?,yes
capuchin,Does the capuchin have a tail?,yes
capuchin,Does the capuchin have wings?,no
capuchin,Does the capuchin have spots on their back?,no
howler monkey,Does the howler monkey have a tail?,yes
howler monkey,Do howler monkeys have horns?,no
spider monkey,Do spider monkeys have red tails?,no
spider monkey,Does the spider monkey have fur on its body?,yes
spider monkey,Do spider monkeys have green arms?,no
spider monkey,Does the spider monkey have a red nose?,no
squirrel monkey,Does the squirrel monkey have fur?,yes
indri,Does an indri have red-spotted patterns on its body?,no
indri,Do most indris have a green belly?,no
indri,Do most indris have a red face?,no
Indian elephant,Does the Indian elephant have four legs?,yes
barracouta,Does the barracouta have feathers?,no
coho,Does a coho have eyes?,yes
coho,Does a coho have wings?,no
rock beauty,Does a rock beauty have fins?,yes
rock beauty,Does the rock beauty have four legs?,no
anemone fish,Does the anemone fish have stripes?,yes
anemone fish,Does the anemone fish have fur?,no
lionfish,Does a lionfish have four legs?,no
lionfish,Does the lionfish have stripes on its body?,yes
puffer,Does the puffer have spots?,yes
abaya,Does an abaya have buttons?,no
abaya,Does an abaya have numbers on it?,no
academic gown,Does an academic gown have sleeves?,yes
acoustic guitar,Does an acoustic guitar have strings?,yes
acoustic guitar,Does the acoustic guitar have fingerboards?,yes
acoustic guitar,Does an acoustic guitar have a screen?,no
acoustic guitar,Does the acoustic guitar have rubber sticks?,no
aircraft carrier,Does the aircraft carrier have antennas?,yes
aircraft carrier,Does the aircraft carrier have a hole?,no
aircraft carrier,Does the aircraft carrier have four wheels?,no
airliner,Does the airliner have wings?,yes
airliner,Does the airliner have windows?,yes
airliner,Does the airliner have a flat bottom?,no
airliner,Does the airliner have rocks?,no
altar,Does an altar have an area in which to set items?,yes
altar,Does an altar always have a green roof?,no
ambulance,Does the ambulance have windows?,yes
ambulance,Do ambulances have lights?,yes
ambulance,Does the ambulance have a pointed front?,no
ambulance,Does the ambulance have petals?,no
apiary,Does the apiary have wheels?,no
apron,Does the apron have sleeves?,no
apron,Does the apron have a hat?,no
backpack,Does the backpack have handles?,yes
backpack,Does the backpack have pockets?,yes
backpack,Does the backpack have zippers?,yes
backpack,Does the backpack have lights?,no
backpack,Does the backpack have windows?,no
bakery,Does a bakery have cakes?,yes
balloon,Does a balloon have an opening?,yes
balloon,Does a balloon have a screen?,no
ballpoint,Do most of the ballpoints have a pressing button at the bottom?,yes
banjo,Does a banjo have strings?,yes
barber chair,Do most barber chairs have armrests?,yes
barber chair,Do most barber chairs have headrests?,yes
barber chair,Do barber chairs have a foot rest?,yes
barber chair,Do barber chairs have wheels?,no
barbershop,Does the barbershop have mirrors?,yes
barometer,Does a barometer have numbers on it?,yes
barrel,Does the barrel have lights?,no
barrel,Does the barrel have lids?,yes
basketball,Does the basketball have stripes?,yes
basketball,Does the basketball have handles?,no
basketball,Does the basketball have an opening?,no
bassoon,Does the bassoon have strings?,no
bassoon,Does the bassoon have metal keys?,yes
bathtub,Does a bathtub have a basin?,yes
bathtub,Does the bathtub have wheels?,no
bathtub,Does the bathtub have windows?,no
beach wagon,Does the beach wagon have windows?,yes
beaker,Does the beaker have a handle?,no
beaker,Do beakers have an opening?,yes
beer bottle,Does a beer bottle have a flat base?,yes
beer bottle,Does a beer bottle have handles?,no
binoculars,Does the binocular have a lens?,yes
birdhouse,Does the birdhouse have a roof?,yes
birdhouse,Does the birdhouse have a chimney?,no
birdhouse,Does the birdhouse have handles?,no
boathouse,Does the boathouse have a steering wheel?,no
boathouse,Does the boathouse have a roof?,yes
bookcase,Does a bookcase have shelves?,yes
bottlecap,Do bottlecaps typically have some sort of printing on them?,yes
bottlecap,Does a bottlecap have a flat top?,yes
bottlecap,Does the bottlecap usually have a handle?,no
brassiere,Does the brassiere have a zip?,no
broom,Does the broom have a brush?,yes
broom,Does the broom have a screen?,no
bucket,Does a bucket have lights?,no
bucket,Do most buckets have handles?,yes
bucket,Do most buckets have windows?,no
bulletproof vest,Do bulletproof vests usually have sleeves?,no
bullet train,Does the bullet train have windows?,yes
bullet train,Does the bullet train have wheels?,yes
bullet train,Does the bullet train have a handle?,no
bullet train,Does the bullet train have an opening?,no
cab,Does the cab have four wheels?,yes
cannon,Does the cannon have wheels?,yes
cannon,Does the cannon have barrels?,yes
cannon,Does the cannon have patterns on the surface?,no
cannon,Does the cannon have handles?,no
canoe,Does a canoe have a pointed front?,yes
canoe,Does the canoe have windows?,no
can opener,Does the can opener have a handle?,yes
carousel,Does the carousel have wheels?,no
carousel,Do carousels have bright lights?,yes
carousel,Does the carousel have windows?,no
carpenter's kit,Does a carpenter's kit have many compartments?,yes
cash machine,Do most cash machines have buttons?,yes
cash machine,Does the cash machine have wheels?,no
cash machine,Does the cash machine have handles?,no
cassette player,Does the cassette player have a display?,yes
cassette player,Does the cassette player have handles?,yes
catamaran,Does a catamaran have a pointed front?,yes
catamaran,Does the catamaran have a deck?,yes
catamaran,Does the catamaran have a wheels?,no
CD player,Does a CD player have buttons?,yes
CD player,Does a CD player have a display?,yes
CD player,Does a CD player have a mouse?,no
CD player,Does a CD player always have a red keyboard?,no
cello,Does the cello have strings?,yes
cello,Does the cello have buttons and keys?,no
cello,Does the cello have an attached mirror?,no
cello,Does the cello have handles?,no
cellular telephone,Does the cellular telephone have a screen?,yes
cellular telephone,Does the cellular telephone have a keypad?,yes
cellular telephone,Does the cellular telephone have wheels?,no
chain saw,Do chain saws have handles?,yes
china cabinet,Does the china cabinet have wheels?,no
Christmas stocking,Does a Christmas stocking have a handle?,no
church,Does the church have a roof?,yes
church,Does the church have windows?,yes
church,Does the church have wheels?,no
cinema,Does a cinema have a blackboard in it?,no
cleaver,Does the cleaver have a handle?,yes
cliff dwelling,Does the cliff dwelling have holes?,yes
cloak,Do most cloaks have a hood?,yes
cloak,Do most cloaks have a many holes?,no
cocktail shaker,Does a cocktail shaker have handles?,no
cocktail shaker,Does a cocktail shaker have many holes?,no
coffee mug,Does the coffee mug usually have a handle?,yes
coffeepot,Does a coffeepot have an opening?,yes
combination lock,Does the combination lock have moveable parts?,yes
computer keyboard,Does the computer keyboard have a handle?,no
container ship,Does a container ship have windows?,yes
container ship,Does the container ship have a deck?,yes
container ship,Does the container ship have wheels or not?,no
convertible,Does the convertible have headlights?,yes
convertible,Do convertibles have tires?,yes
convertible,Does the convertible have windows?,yes
convertible,Does the convertible not have any seats?,no
convertible,Does the convertible have a roof?,no
convertible,Does the convertible have shelves?,no
corkscrew,Does a corkscrew have an opening?,no
corkscrew,Does a corkscrew have buttons?,no
cowboy boot,Do most cowboy boots have high heels?,no
cowboy boot,Does a cowboy boot usually have designs on it?,yes
crash helmet,Does a crash helmet have decorations?,yes
crash helmet,Does a crash helmet have wooden handles?,no
crash helmet,Does a crash helmet have wheels?,no
crib,Does the crib have high fence-like edges?,yes
crib,Does the crib have legs?,yes
crib,Does the crib have three legs?,no
Crock Pot,Does the Crock Pot have a lid?,yes
Crock Pot,Does the Crock Pot have handles?,yes
Crock Pot,Does the Crock Pot have holes?,no
cuirass,Does a cuirass have sleeves?,no
desktop computer,Does a desktop computer have a screen?,yes
desktop computer,Does a desktop computer have a opening?,no
desktop computer,Does a desktop computer have a handles?,no
diaper,Does the diaper have wheels?,no
digital watch,Does a digital watch have numbers on it?,yes
digital watch,Does a digital watch always have a silk strap?,no
digital watch,Does a digital watch have buttons on it?,yes
digital watch,Does a digital watch have handles?,no
drilling platform,Do most of the drilling platforms have pillars?,yes
drilling platform,Do most of the drilling platforms have a pointed front?,no
drilling platform,Do most of the drilling platforms have tires?,no
dumbbell,Does a dumbbell have holes?,no
Dutch oven,Does a Dutch oven have an opening?,yes
Dutch oven,Does a Dutch oven have a lid?,yes
Dutch oven,Does a Dutch oven have holes?,no
Dutch oven,Does a Dutch oven have transparent lids?,no
electric guitar,Does the electric guitar have a fingerboard?,yes
electric locomotive,Does the electric locomotive have wheels?,yes
electric locomotive,Does the electric locomotive have windows?,yes
electric locomotive,Does the electric locomotive have an opening?,no
electric locomotive,Does the electric locomotive have a pointed top?,no
electric locomotive,Does the electric locomotive have rocks?,no
entertainment center,Does an entertainment center have shelves?,yes
envelope,Do the envelopes have corners?,yes
envelope,Do the envelopes have holes?,no
espresso maker,Does the espresso maker have a handle?,yes
espresso maker,Does the espresso maker have switches to operate?,yes
espresso maker,Does the espresso maker have a handle?,yes
espresso maker,Does the espresso maker have holes?,no
espresso maker,Does the espresso maker have windows?,no
espresso maker,Does the espresso maker have strings?,no
face powder,Do face powders usually have a lid?,yes
face powder,Do face powders usually have a mirror?,yes
face powder,Do face powders usually have a handle?,no
face powder,Do face powders usually have holes?,no
file,Does a file have shelves?,yes
file,Does a file have wooden handles?,no
file,Does a file have drawers?,yes
file,Does a file have a handle?,no
fire screen,Does the fire screen have corners?,yes
fire screen,Does the fire screen have designs on it?,yes
fire screen,Does the fire screen have wheels?,no
fire screen,Does the fire screen have shelves?,no
flute,Does the flute have holes?,yes
folding chair,Does the folding chair have legs?,yes
folding chair,Does the folding chair have 8 legs?,no
football helmet,Do most football helmets have bars in the front?,yes
football helmet,Do the football helmets have a handle?,no
football helmet,Do the football helmets have buttons?,no
forklift,Does the forklift have glass windows?,no
forklift,Does a forklift have four wheels?,yes
fountain,Does the fountain have water?,yes
fountain,Does the fountain have a stone base?,yes
fountain,Does the fountain have holes?,yes
fountain,Can the fountain have a multi-layer display?,yes
fountain,Does the fountain have buttons?,no
fountain,Does the fountain have corners?,no
fountain,Does the fountain have windows?,no
freight car,Does the freight car have wheels?,yes
freight car,Does the freight car have holes?,no
French horn,Does a French horn have an opening?,yes
French horn,Does the French horn have handles?,yes
French horn,Does the French horn have corners?,no
French horn,Does the French horn have windows?,no
French horn,Does the French horn have a flat bottom?,no
frying pan,Do frying pans have a flat bottom?,yes
frying pan,Does the frying pan have a handle?,yes
frying pan,Does the frying pan have holes?,no
fur coat,Does the fur coat have green spots on it?,no
fur coat,Does the fur coat have sleeves?,yes
garbage truck,Does the garbage truck have wheels or not?,yes
garbage truck,Do garbage trucks usually have two wheels?,no
garbage truck,Do garbage trucks usually have windows?,yes
gas pump,Does the gas pump have a digital meter on it?,yes
